miRNA,Gene,Disease,Score-m-g,Score-g-d
hsa-miR-301a-3p,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-301b-3p,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-3124-3p,TSC1,Tuberous Sclerosis,83.112941588948,90.0
hsa-miR-3153,TSC1,Tuberous Sclerosis,83.963025849824,90.0
hsa-miR-32-5p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-320a-3p,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-320b,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-320c,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-320d,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-328-5p,TSC1,Tuberous Sclerosis,81.235622407,90.0
hsa-miR-3666,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-3667-3p,TSC1,Tuberous Sclerosis,87.9287866476699,90.0
hsa-miR-3684,TSC1,Tuberous Sclerosis,82.691059232,90.0
hsa-miR-3692-5p,TSC1,Tuberous Sclerosis,92.0703657119765,90.0
hsa-miR-4263,TSC1,Tuberous Sclerosis,94.0062570916976,90.0
hsa-miR-4295,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-4420,TSC1,Tuberous Sclerosis,80.5885753519608,90.0
hsa-miR-4429,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-454-3p,TSC1,Tuberous Sclerosis,99.214569618335,90.0
hsa-miR-4667-3p,TSC1,Tuberous Sclerosis,84.3595357379202,90.0
hsa-miR-4769-3p,TSC1,Tuberous Sclerosis,84.6035770211968,90.0
hsa-miR-6509-3p,TSC1,Tuberous Sclerosis,82.9033,90.0
hsa-miR-6529-3p,TSC1,Tuberous Sclerosis,84.5229,90.0
hsa-miR-660-3p,TSC1,Tuberous Sclerosis,85.1961177126359,90.0
hsa-miR-6733-5p,TSC1,Tuberous Sclerosis,83.0244365807887,90.0
hsa-miR-6734-3p,TSC1,Tuberous Sclerosis,80.9238755251711,90.0
hsa-miR-6739-5p,TSC1,Tuberous Sclerosis,89.6487124520457,90.0
hsa-miR-6757-5p,TSC1,Tuberous Sclerosis,81.6245,90.0
hsa-miR-6781-3p,TSC1,Tuberous Sclerosis,83.5952288150134,90.0
hsa-miR-6817-5p,TSC1,Tuberous Sclerosis,84.6035770211968,90.0
hsa-miR-6849-3p,TSC1,Tuberous Sclerosis,85.8254834572811,90.0
hsa-miR-6878-3p,TSC1,Tuberous Sclerosis,92.13147,90.0
hsa-miR-6885-5p,TSC1,Tuberous Sclerosis,81.235622407,90.0
hsa-miR-6889-3p,TSC1,Tuberous Sclerosis,88.7139,90.0
hsa-miR-92a-2-5p,TSC1,Tuberous Sclerosis,92.3931573129146,90.0
hsa-miR-92a-3p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-92b-3p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-10397-5p,TSC1,Tuberous Sclerosis,86.104343827,90.0
hsa-miR-103a-3p,TSC1,Tuberous Sclerosis,81.3241049254902,90.0
hsa-miR-107,TSC1,Tuberous Sclerosis,81.3241049254902,90.0
hsa-miR-1228-3p,TSC1,Tuberous Sclerosis,81.5658451903299,90.0
hsa-miR-1279,TSC1,Tuberous Sclerosis,89.53655,90.0
hsa-miR-1296-3p,TSC1,Tuberous Sclerosis,86.1961671180759,90.0
hsa-miR-130a-3p,TSC1,Tuberous Sclerosis,99.0943526814825,90.0
hsa-miR-130b-3p,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-141-3p,TSC1,Tuberous Sclerosis,95.5950893416,90.0
hsa-miR-181b-2-3p,TSC1,Tuberous Sclerosis,80.5885753519608,90.0
hsa-miR-181b-3p,TSC1,Tuberous Sclerosis,80.5885753519608,90.0
hsa-miR-19a-3p,TSC1,Tuberous Sclerosis,95.7369151641,90.0
hsa-miR-19b-3p,TSC1,Tuberous Sclerosis,95.7369151641,90.0
hsa-miR-200a-3p,TSC1,Tuberous Sclerosis,95.5950893416,90.0
hsa-miR-204-5p,TSC1,Tuberous Sclerosis,80.9577936224052,90.0
hsa-miR-211-5p,TSC1,Tuberous Sclerosis,80.9577936224052,90.0
hsa-miR-26a-1-3p,TSC1,Tuberous Sclerosis,83.4728566603311,90.0
hsa-miR-26a-2-3p,TSC1,Tuberous Sclerosis,83.4728566603311,90.0
hsa-miR-301a-3p,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-301b-3p,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-3124-3p,TSC1,Tuberous Sclerosis,83.112941588948,90.0
hsa-miR-3153,TSC1,Tuberous Sclerosis,83.963025849824,90.0
hsa-miR-32-5p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-320a-3p,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-320b,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-320c,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-320d,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-328-5p,TSC1,Tuberous Sclerosis,81.235622407,90.0
hsa-miR-3666,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-3667-3p,TSC1,Tuberous Sclerosis,87.9287866476699,90.0
hsa-miR-3684,TSC1,Tuberous Sclerosis,82.691059232,90.0
hsa-miR-3692-5p,TSC1,Tuberous Sclerosis,92.0703657119765,90.0
hsa-miR-4263,TSC1,Tuberous Sclerosis,94.0062570916976,90.0
hsa-miR-4295,TSC1,Tuberous Sclerosis,99.0324176353629,90.0
hsa-miR-4420,TSC1,Tuberous Sclerosis,80.5885753519608,90.0
hsa-miR-4429,TSC1,Tuberous Sclerosis,84.1511327611036,90.0
hsa-miR-454-3p,TSC1,Tuberous Sclerosis,99.214569618335,90.0
hsa-miR-4667-3p,TSC1,Tuberous Sclerosis,84.3595357379202,90.0
hsa-miR-4769-3p,TSC1,Tuberous Sclerosis,84.6035770211968,90.0
hsa-miR-6509-3p,TSC1,Tuberous Sclerosis,82.9033,90.0
hsa-miR-6529-3p,TSC1,Tuberous Sclerosis,84.5229,90.0
hsa-miR-660-3p,TSC1,Tuberous Sclerosis,85.1961177126359,90.0
hsa-miR-6733-5p,TSC1,Tuberous Sclerosis,83.0244365807887,90.0
hsa-miR-6734-3p,TSC1,Tuberous Sclerosis,80.9238755251711,90.0
hsa-miR-6739-5p,TSC1,Tuberous Sclerosis,89.6487124520457,90.0
hsa-miR-6757-5p,TSC1,Tuberous Sclerosis,81.6245,90.0
hsa-miR-6781-3p,TSC1,Tuberous Sclerosis,83.5952288150134,90.0
hsa-miR-6817-5p,TSC1,Tuberous Sclerosis,84.6035770211968,90.0
hsa-miR-6849-3p,TSC1,Tuberous Sclerosis,85.8254834572811,90.0
hsa-miR-6878-3p,TSC1,Tuberous Sclerosis,92.13147,90.0
hsa-miR-6885-5p,TSC1,Tuberous Sclerosis,81.235622407,90.0
hsa-miR-6889-3p,TSC1,Tuberous Sclerosis,88.7139,90.0
hsa-miR-92a-2-5p,TSC1,Tuberous Sclerosis,92.3931573129146,90.0
hsa-miR-92a-3p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-92b-3p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-10397-5p,TSC1,Tuberous Sclerosis,86.104343827,90.0
hsa-miR-103a-3p,TSC1,Tuberous Sclerosis,81.3241049254902,90.0
hsa-miR-107,TSC1,Tuberous Sclerosis,81.3241049254902,90.0
hsa-miR-1228-3p,TSC1,Tuberous Sclerosis,81.5658451903299,90.0
hsa-miR-1279,TSC1,Tuberous Sclerosis,89.53655,90.0
hsa-miR-1296-3p,TSC1,Tuberous Sclerosis,87.3379606963296,90.0
hsa-miR-130a-3p,TSC1,Tuberous Sclerosis,99.3844984990448,90.0
hsa-miR-130b-3p,TSC1,Tuberous Sclerosis,99.3424058288973,90.0
hsa-miR-141-3p,TSC1,Tuberous Sclerosis,96.75923125669,90.0
hsa-miR-1468-3p,TSC1,Tuberous Sclerosis,97.4426854111665,90.0
hsa-miR-181b-2-3p,TSC1,Tuberous Sclerosis,80.5885753519608,90.0
hsa-miR-181b-3p,TSC1,Tuberous Sclerosis,80.5885753519608,90.0
hsa-miR-193a-3p,TSC1,Tuberous Sclerosis,86.371,90.0
hsa-miR-193b-3p,TSC1,Tuberous Sclerosis,86.371,90.0
hsa-miR-19a-3p,TSC1,Tuberous Sclerosis,99.15906825736,90.0
hsa-miR-19b-3p,TSC1,Tuberous Sclerosis,99.15906825736,90.0
hsa-miR-200a-3p,TSC1,Tuberous Sclerosis,96.75923125669,90.0
hsa-miR-204-5p,TSC1,Tuberous Sclerosis,80.9577936224052,90.0
hsa-miR-211-5p,TSC1,Tuberous Sclerosis,80.9577936224052,90.0
hsa-miR-26a-1-3p,TSC1,Tuberous Sclerosis,83.4728566603311,90.0
hsa-miR-26a-2-3p,TSC1,Tuberous Sclerosis,83.4728566603311,90.0
hsa-miR-27a-3p,TSC1,Tuberous Sclerosis,84.8801,90.0
hsa-miR-27b-3p,TSC1,Tuberous Sclerosis,84.8801,90.0
hsa-miR-301a-3p,TSC1,Tuberous Sclerosis,99.3424058288973,90.0
hsa-miR-301b-3p,TSC1,Tuberous Sclerosis,99.3424058288973,90.0
hsa-miR-3124-3p,TSC1,Tuberous Sclerosis,93.8414693190432,90.0
hsa-miR-3153,TSC1,Tuberous Sclerosis,91.6107986094532,90.0
hsa-miR-32-5p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-320a-3p,TSC1,Tuberous Sclerosis,85.1533363417779,90.0
hsa-miR-320b,TSC1,Tuberous Sclerosis,85.1533363417779,90.0
hsa-miR-320c,TSC1,Tuberous Sclerosis,85.1533363417779,90.0
hsa-miR-320d,TSC1,Tuberous Sclerosis,85.1533363417779,90.0
hsa-miR-328-5p,TSC1,Tuberous Sclerosis,81.235622407,90.0
hsa-miR-3666,TSC1,Tuberous Sclerosis,99.3424058288973,90.0
hsa-miR-3667-3p,TSC1,Tuberous Sclerosis,87.9287866476699,90.0
hsa-miR-3684,TSC1,Tuberous Sclerosis,82.691059232,90.0
hsa-miR-3692-5p,TSC1,Tuberous Sclerosis,94.9735499013856,90.0
hsa-miR-375-3p,TSC1,Tuberous Sclerosis,81.1275201419504,90.0
hsa-miR-4263,TSC1,Tuberous Sclerosis,94.0062570916976,90.0
hsa-miR-4284,TSC1,Tuberous Sclerosis,82.951,90.0
hsa-miR-4295,TSC1,Tuberous Sclerosis,99.3424058288973,90.0
hsa-miR-4326,TSC1,Tuberous Sclerosis,90.0499080352,90.0
hsa-miR-4420,TSC1,Tuberous Sclerosis,80.5885753519608,90.0
hsa-miR-4429,TSC1,Tuberous Sclerosis,85.1533363417779,90.0
hsa-miR-4458,TSC1,Tuberous Sclerosis,81.2847,90.0
hsa-miR-454-3p,TSC1,Tuberous Sclerosis,99.4651179406918,90.0
hsa-miR-4642,TSC1,Tuberous Sclerosis,88.466,90.0
hsa-miR-4667-3p,TSC1,Tuberous Sclerosis,84.3595357379202,90.0
hsa-miR-4757-5p,TSC1,Tuberous Sclerosis,87.2758178208698,90.0
hsa-miR-4769-3p,TSC1,Tuberous Sclerosis,84.6035770211968,90.0
hsa-miR-4773,TSC1,Tuberous Sclerosis,83.4705380872781,90.0
hsa-miR-489-3p,TSC1,Tuberous Sclerosis,81.5272998561142,90.0
hsa-miR-548aj-5p,TSC1,Tuberous Sclerosis,84.0231607696,90.0
hsa-miR-548aw,TSC1,Tuberous Sclerosis,88.8277016370126,90.0
hsa-miR-548e-5p,TSC1,Tuberous Sclerosis,89.3127404578,90.0
hsa-miR-548f-5p,TSC1,Tuberous Sclerosis,84.0231607696,90.0
hsa-miR-548g-5p,TSC1,Tuberous Sclerosis,84.0231607696,90.0
hsa-miR-548p,TSC1,Tuberous Sclerosis,82.0213,90.0
hsa-miR-548x-5p,TSC1,Tuberous Sclerosis,84.0231607696,90.0
hsa-miR-6509-3p,TSC1,Tuberous Sclerosis,82.9033,90.0
hsa-miR-6529-3p,TSC1,Tuberous Sclerosis,84.5229,90.0
hsa-miR-660-3p,TSC1,Tuberous Sclerosis,92.9882767390624,90.0
hsa-miR-661,TSC1,Tuberous Sclerosis,88.4817052255,90.0
hsa-miR-6733-5p,TSC1,Tuberous Sclerosis,91.1198073334676,90.0
hsa-miR-6734-3p,TSC1,Tuberous Sclerosis,80.9238755251711,90.0
hsa-miR-6739-3p,TSC1,Tuberous Sclerosis,84.7277961349475,90.0
hsa-miR-6739-5p,TSC1,Tuberous Sclerosis,94.5850735258375,90.0
hsa-miR-6744-3p,TSC1,Tuberous Sclerosis,87.445594568397,90.0
hsa-miR-6757-5p,TSC1,Tuberous Sclerosis,81.6245,90.0
hsa-miR-6781-3p,TSC1,Tuberous Sclerosis,83.5952288150134,90.0
hsa-miR-6817-5p,TSC1,Tuberous Sclerosis,84.6035770211968,90.0
hsa-miR-6849-3p,TSC1,Tuberous Sclerosis,85.8254834572811,90.0
hsa-miR-6878-3p,TSC1,Tuberous Sclerosis,94.12356,90.0
hsa-miR-6885-5p,TSC1,Tuberous Sclerosis,81.235622407,90.0
hsa-miR-6889-3p,TSC1,Tuberous Sclerosis,88.7139,90.0
hsa-miR-92a-2-5p,TSC1,Tuberous Sclerosis,92.3931573129146,90.0
hsa-miR-92a-3p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-92b-3p,TSC1,Tuberous Sclerosis,81.2237,90.0
hsa-miR-9985,TSC1,Tuberous Sclerosis,84.8801,90.0
hsa-miR-10397-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,86.7911,91.0
hsa-miR-204-3p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,90.05807,91.0
hsa-miR-3153,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,94.33014909723,91.0
hsa-miR-3691-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,87.096791965,91.0
hsa-miR-4314,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,91.60245,91.0
hsa-miR-4427,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,84.7292,91.0
hsa-miR-4646-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,90.05807,91.0
hsa-miR-5187-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,93.89605,91.0
hsa-miR-6728-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,87.5666,91.0
hsa-miR-6733-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,95.05672023532,91.0
hsa-miR-6739-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,95.05672023532,91.0
hsa-miR-6759-3p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,90.06827,91.0
hsa-miR-6780a-3p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,85.9033472574142,91.0
hsa-miR-6867-5p,FOXN1,T-cell immunodeficiency congenital alopecia and nail dystrophy,93.6704378915,91.0
hsa-miR-10398-5p,ENG,Hereditary hemorrhagic telangiectasia,81.0876006603808,100.0
hsa-miR-29a-5p,ENG,Hereditary hemorrhagic telangiectasia,96.50632,100.0
hsa-miR-378g,ENG,Hereditary hemorrhagic telangiectasia,83.4278029185867,100.0
hsa-miR-3920,ENG,Hereditary hemorrhagic telangiectasia,82.9784,100.0
hsa-miR-4492,ENG,Hereditary hemorrhagic telangiectasia,93.4510435862,100.0
hsa-miR-4498,ENG,Hereditary hemorrhagic telangiectasia,94.969871821,100.0
hsa-miR-4505,ENG,Hereditary hemorrhagic telangiectasia,83.7913340088526,100.0
hsa-miR-5001-5p,ENG,Hereditary hemorrhagic telangiectasia,92.4429168062,100.0
hsa-miR-5787,ENG,Hereditary hemorrhagic telangiectasia,83.739553226417,100.0
hsa-miR-762,ENG,Hereditary hemorrhagic telangiectasia,92.4429168062,100.0
hsa-miR-29a-5p,ENG,Hereditary hemorrhagic telangiectasia,96.64958,100.0
hsa-miR-3920,ENG,Hereditary hemorrhagic telangiectasia,83.6778,100.0
hsa-miR-4492,ENG,Hereditary hemorrhagic telangiectasia,86.4433071092,100.0
hsa-miR-4498,ENG,Hereditary hemorrhagic telangiectasia,87.8984125575,100.0
hsa-miR-4505,ENG,Hereditary hemorrhagic telangiectasia,84.6112557298018,100.0
hsa-miR-5001-5p,ENG,Hereditary hemorrhagic telangiectasia,83.0614866204,100.0
hsa-miR-5787,ENG,Hereditary hemorrhagic telangiectasia,84.5453614608567,100.0
hsa-miR-762,ENG,Hereditary hemorrhagic telangiectasia,83.0614866204,100.0
hsa-miR-29a-5p,ENG,Hereditary hemorrhagic telangiectasia,96.64958,100.0
hsa-miR-3920,ENG,Hereditary hemorrhagic telangiectasia,83.6778,100.0
hsa-miR-4492,ENG,Hereditary hemorrhagic telangiectasia,86.4433071092,100.0
hsa-miR-4498,ENG,Hereditary hemorrhagic telangiectasia,87.8984125575,100.0
hsa-miR-4505,ENG,Hereditary hemorrhagic telangiectasia,84.6112557298018,100.0
hsa-miR-5001-5p,ENG,Hereditary hemorrhagic telangiectasia,83.0614866204,100.0
hsa-miR-5787,ENG,Hereditary hemorrhagic telangiectasia,84.5453614608567,100.0
hsa-miR-762,ENG,Hereditary hemorrhagic telangiectasia,83.0614866204,100.0
hsa-miR-10398-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),85.0301343644973,90.0
hsa-miR-12136,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),89.339746823527,90.0
hsa-miR-129-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),97.5589842321854,90.0
hsa-miR-1468-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),92.61097437764,90.0
hsa-miR-182-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),84.911837344,90.0
hsa-miR-186-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),86.8701264765066,90.0
hsa-miR-3158-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),88.5360931450087,90.0
hsa-miR-4424,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),85.7078,90.0
hsa-miR-4643,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.1949,90.0
hsa-miR-4742-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),88.9089,90.0
hsa-miR-5010-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),83.5239928978,90.0
hsa-miR-505-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.9859,90.0
hsa-miR-509-3-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),81.8376,90.0
hsa-miR-509-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),81.8376,90.0
hsa-miR-548aw,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),92.9349122791,90.0
hsa-miR-6826-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),87.888,90.0
hsa-miR-6867-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),99.983907799221,90.0
hsa-miR-8070,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),82.2516,90.0
hsa-miR-96-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),81.5989284548,90.0
hsa-miR-9983-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),98.1954908739705,90.0
hsa-miR-12136,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),89.339746823527,90.0
hsa-miR-129-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),90.0093480452954,90.0
hsa-miR-4424,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),85.7078,90.0
hsa-miR-4742-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),88.9089,90.0
hsa-miR-5010-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),83.5239928978,90.0
hsa-miR-505-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.9859,90.0
hsa-miR-548aw,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.3831585806,90.0
hsa-miR-6826-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),87.888,90.0
hsa-miR-6867-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),99.983907799221,90.0
hsa-miR-8070,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),82.2516,90.0
hsa-miR-9983-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),92.0445300655315,90.0
hsa-miR-12136,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),89.339746823527,90.0
hsa-miR-129-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),90.0093480452954,90.0
hsa-miR-4424,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),85.7078,90.0
hsa-miR-4742-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),88.9089,90.0
hsa-miR-5010-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),83.5239928978,90.0
hsa-miR-505-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.9859,90.0
hsa-miR-548aw,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.3831585806,90.0
hsa-miR-6826-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),87.888,90.0
hsa-miR-6867-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),99.983907799221,90.0
hsa-miR-8070,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),82.2516,90.0
hsa-miR-9983-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),92.0445300655315,90.0
hsa-miR-4283,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),84.0823240041,90.0
hsa-miR-4447,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),92.8260224889,90.0
hsa-miR-4472,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),88.6514420959,90.0
hsa-miR-4529-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),81.0541,90.0
hsa-miR-4651,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.0600586934808,90.0
hsa-miR-608,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),85.1663280588176,90.0
hsa-miR-877-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.8609508595,90.0
hsa-miR-4283,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),84.0823240041,90.0
hsa-miR-4447,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),92.8260224889,90.0
hsa-miR-4472,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),88.6514420959,90.0
hsa-miR-4529-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),81.0541,90.0
hsa-miR-4651,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.0600586934808,90.0
hsa-miR-608,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),85.1663280588176,90.0
hsa-miR-877-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.8609508595,90.0
hsa-miR-4283,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),84.0823240041,90.0
hsa-miR-4447,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),92.8260224889,90.0
hsa-miR-4472,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),88.6514420959,90.0
hsa-miR-4529-5p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),81.0541,90.0
hsa-miR-4651,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.0600586934808,90.0
hsa-miR-608,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),85.1663280588176,90.0
hsa-miR-877-3p,LDB3,CARDIOMYOPATHY DILATED 1C (disorder),80.8609508595,90.0
hsa-miR-10398-5p,PYGM,Glycogen Storage Disease Type V,80.1628,100.0
hsa-miR-4481,PYGM,Glycogen Storage Disease Type V,87.3532591669,100.0
hsa-miR-4492,PYGM,Glycogen Storage Disease Type V,81.7962022542,100.0
hsa-miR-4745-5p,PYGM,Glycogen Storage Disease Type V,82.0240872943,100.0
hsa-miR-491-5p,PYGM,Glycogen Storage Disease Type V,82.3531,100.0
hsa-miR-6814-5p,PYGM,Glycogen Storage Disease Type V,89.9783,100.0
hsa-miR-10398-5p,PYGM,Glycogen Storage Disease Type V,80.1628,100.0
hsa-miR-4481,PYGM,Glycogen Storage Disease Type V,82.4488317148,100.0
hsa-miR-491-5p,PYGM,Glycogen Storage Disease Type V,82.3531,100.0
hsa-miR-6814-5p,PYGM,Glycogen Storage Disease Type V,89.9783,100.0
hsa-miR-10398-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),85.622511828,100.0
hsa-miR-1293,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),87.131642498,100.0
hsa-miR-143-3p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),95.4922158040548,100.0
hsa-miR-185-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),99.3455234283845,100.0
hsa-miR-24-3p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),87.3206442413991,100.0
hsa-miR-3125,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),85.4243,100.0
hsa-miR-3150a-3p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),95.236226715117,100.0
hsa-miR-3175,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),99.6472024182121,100.0
hsa-miR-3649,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),89.206670989,100.0
hsa-miR-375-3p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),90.6766389388,100.0
hsa-miR-3911,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),90.4565,100.0
hsa-miR-3916,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),86.6938,100.0
hsa-miR-4306,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),99.7174934194225,100.0
hsa-miR-4471,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),82.0270073062,100.0
hsa-miR-4481,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),89.15047822,100.0
hsa-miR-4483,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),88.8801759415,100.0
hsa-miR-4644,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),99.3455234283845,100.0
hsa-miR-4745-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),87.363769075,100.0
hsa-miR-4770,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),95.4922158040548,100.0
hsa-miR-548ao-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),81.585,100.0
hsa-miR-548ax,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),81.585,100.0
hsa-miR-5708,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),88.253,100.0
hsa-miR-6088,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),94.7149102938855,100.0
hsa-miR-660-3p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),83.7696286848823,100.0
hsa-miR-6763-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),95.236226715117,100.0
hsa-miR-6852-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),84.8628610669178,100.0
hsa-miR-6859-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),86.6938,100.0
hsa-miR-6878-5p,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),83.1244132106328,100.0
hsa-miR-8059,SLC16A2,Allan-Herndon-Dudley syndrome (AHDS),80.1076880784,100.0
